|3322|pseudo-sld|custom|
|aaa|brand|American Automobile Association, Inc.|
|aaa|brand|American Automobile Association|
|aarp|brand|AARP|
|abarth|brand|Not assigned|
|abarth|brand|Stellantis (Abarth)|
|abbott|brand|Abbott Laboratories, Inc.|
|abbott|brand|Abbott Laboratories|
|abbvie|brand|AbbVie Inc.|
|abbvie|brand|AbbVie|
|abb|brand|ABB Ltd|
|abb|brand|ABB|
|abc|brand|American Broadcasting Company[83]|
|abc|brand|Disney Enterprises, Inc.|
|able|generic|Able Inc.|
|abogado|generic|Registry Services, LLC|
|abudhabi|generic|Abu Dhabi Systems and Information Centre|
|academy|generic|Binky Moon, LLC|
|accenture|brand|Accenture plc|
|accenture|brand|Accenture|
|accountants|generic|Binky Moon, LLC|
|accountant|generic|dot Accountant Limited|
|aco|brand|ACO Ahlmann SE & Co. KG|
|aco|brand|ACO Severin Ahlmann GmbH & Co. KG|
|active|generic|Not assigned|
|actor|generic|Dog Beach, LLC|
|ac|country-code|Internet Computer Bureau Limited|
|ac|pseudo-sld|custom|
|adac|generic|Not assigned|
|ads|generic|Charleston Road Registry Inc.|
|adult|generic|ICM Registry AD LLC|
|ad|country-code|Andorra Telecom|
|aeg|brand|Aktiebolaget Electrolux|
|aeg|brand|Aktiebolaget Electrolux|
|aero|sponsored|Societe Internationale de Telecommunications Aeronautique (SITA INC USA)|
|aetna|brand|Aetna Life Insurance Company|
|aetna|brand|Aetna|
|ae|country-code|Telecommunications and Digital Government Regulatory Authority (TDRA)|
|afamilycompany|generic|Not assigned|
|afl|brand|Australian Football League|
|africa|generic|ZA Central Registry NPC trading as Registry.Africa|
|af|country-code|Ministry of Communications and IT|
|agakhan|brand|Aga Khan Foundation|
|agakhan|brand|Fondation Aga Khan (Aga Khan Foundation)|
|agency|generic|Binky Moon, LLC|
|agilent|brand|Agilent|
|ag|country-code|UHSA School of Medicine|
|aigo|brand|Aigo|
|aigo|brand|Not assigned|
|aig|brand|American International Group, Inc.|
|aig|brand|American International Group|
|airbus|brand|Airbus S.A.S.|
|airbus|brand|Airbus|
|airforce|generic|Dog Beach, LLC|
|airtel|brand|Bharti Airtel Limited|
|airtel|brand|Bharti Airtel|
|ai|country-code|Government of Anguilla|
|akdn|brand|Aga Khan Foundation|
|akdn|brand|Fondation Aga Khan (Aga Khan Foundation)|
|alfaromeo|brand|Not assigned|
|alfaromeo|brand|Stellantis (Alfa Romeo)|
|alibaba|brand|Alibaba Group Holding Limited|
|alibaba|brand|Alibaba Group|
|alipay|brand|Alibaba Group Holding Limited|
|alipay|brand|Alibaba Group|
|allfinanz|brand|Allfinanz Deutsche Vermögensberatung Aktiengesellschaft|
|allstate|brand|Allstate Fire and Casualty Insurance Company|
|allstate|brand|Allstate|
|ally|brand|Ally Financial Inc.|
|ally|brand|Ally Financial|
|alsace|generic|REGION GRAND EST|
|alstom|brand|ALSTOM|
|alstom|brand|Alstom|
|al|country-code|Electronic and Postal Communications Authority - AKEP|
|amazonaws|pseudo-sld|custom|
|amazon|brand|Amazon Registry Services, Inc.|
|amazon|brand|Amazon|
|americanexpress|brand|American Express Travel Related Services Company, Inc.|
|americanexpress|brand|American Express|
|americanfamily|generic|AmFam, Inc.|
|amex|brand|American Express Travel Related Services Company, Inc.|
|amex|brand|American Express|
|amfam|generic|AmFam, Inc.|
|amica|brand|Amica Mutual Insurance Company|
|amica|brand|Amica Mutual Insurance|
|amsterdam|generic|Gemeente Amsterdam|
|am|country-code|"Internet Society" Non-governmental Organization|
|analytics|generic|Campus IP LLC|
|android|brand|Charleston Road Registry Inc.|
|android|brand|Google (Android)|
|anquan|generic|Beijing Qihu Keji Co., Ltd.|
|anz|brand|Australia & New Zealand Banking Group|
|anz|brand|Australia and New Zealand Banking Group Limited|
|an|country-code|Not assigned|
|aol|brand|AOL Media LLC|
|aol|brand|AOL|
|ao|country-code|Ministry of Telecommunications and Information Technologies (MTTI)|
|apartments|generic|Binky Moon, LLC|
|apple|brand|Apple Inc.|
|apple|brand|Apple|
|app|generic|Charleston Road Registry Inc.|
|aquarelle|brand|Aquarelle.com Group|
|aquarelle|brand|Aquarelle.com|
